formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case46.cnf,0.08523416519165039,False,Fri Jun  5 08:25:21 2020,176,22,659,65536,4,22,10,10,33.30,0.068667,0.045908,0.022759
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf,0.3784465789794922,False,Fri Jun  5 08:25:21 2020,270,43,804,1099511627776,2,28,10,9,110.89,0.357586,0.215547,0.142039
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case103.cnf,0.05447793006896973,False,Fri Jun  5 08:25:21 2020,32,11,86,256,1,6,10,7,7.00,0.019184,0.009765,0.009419
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case29.cnf,0.047893524169921875,False,Fri Jun  5 08:25:21 2020,65,14,190,256,1,10,10,8,12.50,0.027627,0.013238,0.014389
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf,15.493090391159058,False,Fri Jun  5 08:25:37 2020,827,45,2721,274877906944,4,39,10,10,295.90,15.4652,15.3508,0.11444
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case54.cnf,0.06491470336914062,False,Fri Jun  5 08:25:37 2020,203,23,718,1048576,3,20,10,9,57.89,0.044332,0.026448,0.017884
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case115.cnf,0.2804086208343506,False,Fri Jun  5 08:25:37 2020,428,28,1849,33554432,4,30,10,10,96.20,0.268223,0.232655,0.035568
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring28.cnf,2.9125890731811523,False,Fri Jun  5 08:28:41 2020,1060,61,3840,79888860,5,52,10,10,290.60,2.87824,2.787,0.091239
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case64.cnf,0.04771089553833008,False,Fri Jun  5 08:28:41 2020,93,19,284,35328,3,9,10,10,25.30,0.030803,0.013632,0.017171
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf,56.08508348464966,False,Fri Jun  5 08:29:37 2020,340,48,1023,274877906944,5,39,10,10,152.70,56.054,56.0183,0.03569
